"","School","Degree","Job","Location","Salary","degreesector"
"1","Lehman College","Psychology","Government","Chicago",25850,"SocialSci"
"2","John Jay College","Psychology","Government","Chicago",113442,"SocialSci"
"3","College of Staten Island","Psychology","Government","Chicago",107248,"SocialSci"
"4","York College","Psychology","Government","New York City",190043,"SocialSci"
"5","Hunter College","Psychology","Coporate","New York City",134523,"SocialSci"
"6","Brooklyn College","Psychology","Coporate","New York City",186801,"SocialSci"
"7","City College of New York","Psychology","Coporate","New York City",33315,"SocialSci"
"8","Baruch College","Psychology","Coporate","New York City",219308,"SocialSci"
"9","Queens College","Psychology","Coporate","New York City",222595,"SocialSci"
"10","Lehman College","Psychology","Coporate","New York City",240188,"SocialSci"
"11","John Jay College","Psychology","Coporate","New York City",57592,"SocialSci"
"12","College of Staten Island","Psychology","Higher Education","New York City",213688,"SocialSci"
"13","York College","Psychology","Higher Education","New York City",57916,"SocialSci"
"14","Lehman College","Sociology","Government","New York City",145932,"SocialSci"
"15","John Jay College","Sociology","Government","New York City",205825,"SocialSci"
"16","College of Staten Island","Sociology","Government","New York City",169989,"SocialSci"
"17","York College","Sociology","Government","New York City",150342,"SocialSci"
"18","Hunter College","Sociology","Government","New York City",207220,"SocialSci"
"19","Brooklyn College","Sociology","Government","New York City",110536,"SocialSci"
"20","City College of New York","Sociology","Government","New York City",117404,"SocialSci"
"21","Baruch College","Sociology","Coporate","Washington D. C.",22648,"SocialSci"
"22","Queens College","Sociology","Coporate","Washington D. C.",246684,"SocialSci"
"23","Lehman College","Sociology","Coporate","Washington D. C.",133502,"SocialSci"
"24","Queens College","Psychology","Retail","Washington D. C.",243811,"SocialSci"
"25","Lehman College","Psychology","Degree Specific","Washington D. C.",241644,"SocialSci"
"26","John Jay College","Psychology","Degree Specific","Washington D. C.",59646,"SocialSci"
"27","College of Staten Island","Psychology","Degree Specific","Washington D. C.",13592,"SocialSci"
"28","York College","Psychology","Degree Specific","Washington D. C.",221577,"SocialSci"
"29","Hunter College","Psychology","Degree Specific","Washington D. C.",64499,"SocialSci"
"30","Brooklyn College","Psychology","Degree Specific","Chicago",202941,"SocialSci"
"31","City College of New York","Psychology","Degree Specific","Chicago",79066,"SocialSci"
"32","Baruch College","Psychology","Degree Specific","Chicago",242748,"SocialSci"
"33","Queens College","Psychology","Government","Chicago",233740,"SocialSci"
"34","Lehman College","Psychology","Government","Chicago",219230,"SocialSci"
"35","John Jay College","Psychology","Government","Chicago",211036,"SocialSci"
"36","College of Staten Island","Psychology","Government","Chicago",13985,"SocialSci"
"37","Queens College","Sociology","Retail","Chicago",124279,"SocialSci"
"38","Lehman College","Sociology","Retail","Chicago",198171,"SocialSci"
"39","John Jay College","Sociology","Retail","Chicago",233706,"SocialSci"
"40","College of Staten Island","Sociology","Degree Specific","Chicago",75904,"SocialSci"
"41","York College","Sociology","Degree Specific","Chicago",67864,"SocialSci"
"42","Hunter College","Sociology","Degree Specific","Chicago",49834,"SocialSci"
"43","Brooklyn College","Sociology","Degree Specific","Chicago",170274,"SocialSci"
"44","City College of New York","Sociology","Degree Specific","New York City",205818,"SocialSci"
"45","Baruch College","Sociology","Degree Specific","New York City",91480,"SocialSci"
"46","Queens College","Sociology","Degree Specific","New York City",147545,"SocialSci"
"47","Baruch College","Psychology","Higher Education","New York City",25566,"SocialSci"
"48","Queens College","Psychology","Higher Education","New York City",67717,"SocialSci"
"49","Lehman College","Psychology","Unemployed","New York City",172377,"SocialSci"
"50","John Jay College","Psychology","Unemployed","New York City",43217,"SocialSci"
"51","College of Staten Island","Psychology","Unemployed","New York City",216047,"SocialSci"
"52","York College","Psychology","Retail","New York City",208505,"SocialSci"
"53","Hunter College","Psychology","Retail","New York City",227186,"SocialSci"
"54","Brooklyn College","Psychology","Retail","New York City",18938,"SocialSci"
"55","City College of New York","Psychology","Retail","New York City",216776,"SocialSci"
"56","Baruch College","Psychology","Retail","New York City",27277,"SocialSci"
"57","Queens College","Psychology","Retail","New York City",249342,"SocialSci"
"58","Lehman College","Psychology","Retail","Washington D. C.",238969,"SocialSci"
"59","John Jay College","Psychology","Degree Specific","Washington D. C.",89566,"SocialSci"
"60","Baruch College","Sociology","Higher Education","New York City",14803,"SocialSci"
"61","Queens College","Sociology","Higher Education","New York City",106943,"SocialSci"
"62","Lehman College","Sociology","Higher Education","New York City",241827,"SocialSci"
"63","John Jay College","Sociology","Higher Education","New York City",35486,"SocialSci"
"64","College of Staten Island","Sociology","Higher Education","New York City",188020,"SocialSci"
"65","York College","Sociology","Unemployed","Washington D. C.",194529,"SocialSci"
"66","Hunter College","Sociology","Unemployed","Washington D. C.",49311,"SocialSci"
"67","Brooklyn College","Sociology","Retail","Washington D. C.",77192,"SocialSci"
"68","City College of New York","Sociology","Retail","Washington D. C.",185053,"SocialSci"
"69","Baruch College","Sociology","Retail","Washington D. C.",206332,"SocialSci"
"70","City College of New York","Psychology","Coporate","Washington D. C.",29814,"SocialSci"
"71","Baruch College","Psychology","Coporate","Washington D. C.",28611,"SocialSci"
"72","Queens College","Psychology","Coporate","Washington D. C.",236862,"SocialSci"
"73","Lehman College","Psychology","Coporate","Washington D. C.",217629,"SocialSci"
"74","John Jay College","Psychology","Coporate","Chicago",241242,"SocialSci"
"75","College of Staten Island","Psychology","Coporate","Chicago",26670,"SocialSci"
"76","York College","Psychology","Higher Education","Chicago",137528,"SocialSci"
"77","Hunter College","Psychology","Higher Education","Chicago",77253,"SocialSci"
"78","Brooklyn College","Psychology","Higher Education","Chicago",149088,"SocialSci"
"79","City College of New York","Psychology","Higher Education","Chicago",10312,"SocialSci"
"80","Baruch College","Psychology","Higher Education","Chicago",115612,"SocialSci"
"81","Queens College","Psychology","Higher Education","New York City",79728,"SocialSci"
"82","Lehman College","Psychology","Higher Education","New York City",139063,"SocialSci"
"83","City College of New York","Sociology","Government","Chicago",224501,"SocialSci"
"84","Baruch College","Sociology","Government","Chicago",91609,"SocialSci"
"85","Queens College","Sociology","Coporate","Chicago",106154,"SocialSci"
"86","Lehman College","Sociology","Coporate","Chicago",16663,"SocialSci"
"87","John Jay College","Sociology","Coporate","Chicago",160274,"SocialSci"
"88","College of Staten Island","Sociology","Coporate","New York City",246776,"SocialSci"
"89","York College","Sociology","Coporate","New York City",222882,"SocialSci"
"90","Hunter College","Sociology","Coporate","New York City",206309,"SocialSci"
"91","Brooklyn College","Sociology","Coporate","New York City",204573,"SocialSci"
"92","City College of New York","Sociology","Higher Education","New York City",204571,"SocialSci"
"93","Brooklyn College","Psychology","Degree Specific","New York City",117316,"SocialSci"
"94","City College of New York","Psychology","Degree Specific","New York City",32252,"SocialSci"
"95","Baruch College","Psychology","Degree Specific","New York City",22687,"SocialSci"
"96","Queens College","Psychology","Degree Specific","New York City",44007,"SocialSci"
"97","Lehman College","Psychology","Government","New York City",245933,"SocialSci"
"98","John Jay College","Psychology","Government","New York City",213814,"SocialSci"
"99","College of Staten Island","Psychology","Government","New York City",156596,"SocialSci"
"100","York College","Psychology","Government","New York City",60036,"SocialSci"
"101","Hunter College","Psychology","Government","Washington D. C.",168568,"SocialSci"
"102","Brooklyn College","Psychology","Government","Washington D. C.",112674,"SocialSci"
"103","City College of New York","Psychology","Government","Washington D. C.",68442,"SocialSci"
"104","Baruch College","Psychology","Coporate","Washington D. C.",62510,"SocialSci"
"105","Queens College","Psychology","Coporate","Washington D. C.",232119,"SocialSci"
"106","Brooklyn College","Sociology","Degree Specific","New York City",125620,"SocialSci"
"107","City College of New York","Sociology","Degree Specific","New York City",37621,"SocialSci"
"108","Baruch College","Sociology","Degree Specific","Washington D. C.",32830,"SocialSci"
"109","Queens College","Sociology","Degree Specific","Washington D. C.",217044,"SocialSci"
"110","Lehman College","Sociology","Degree Specific","Washington D. C.",108685,"SocialSci"
"111","John Jay College","Sociology","Degree Specific","Washington D. C.",134157,"SocialSci"
"112","College of Staten Island","Sociology","Government","Washington D. C.",49889,"SocialSci"
"113","York College","Sociology","Government","Washington D. C.",190196,"SocialSci"
"114","Hunter College","Sociology","Government","Chicago",161222,"SocialSci"
"115","Brooklyn College","Sociology","Government","Chicago",45864,"SocialSci"
"116","Hunter College","Psychology","Retail","Washington D. C.",56232,"SocialSci"
"117","Brooklyn College","Psychology","Retail","Chicago",185428,"SocialSci"
"118","City College of New York","Psychology","Retail","Chicago",19988,"SocialSci"
"119","Baruch College","Psychology","Retail","Chicago",146743,"SocialSci"
"120","Queens College","Psychology","Retail","Chicago",104925,"SocialSci"
"121","Lehman College","Psychology","Retail","Chicago",223746,"SocialSci"
"122","John Jay College","Psychology","Retail","Chicago",19135,"SocialSci"
"123","College of Staten Island","Psychology","Degree Specific","Chicago",74101,"SocialSci"
"124","York College","Psychology","Degree Specific","New York City",166007,"SocialSci"
"125","Hunter College","Psychology","Degree Specific","New York City",20409,"SocialSci"
"126","Brooklyn College","Psychology","Degree Specific","New York City",187294,"SocialSci"
"127","City College of New York","Psychology","Degree Specific","New York City",167959,"SocialSci"
"128","Baruch College","Psychology","Degree Specific","New York City",208611,"SocialSci"
"129","Hunter College","Sociology","Unemployed","Chicago",243713,"SocialSci"
"130","Brooklyn College","Sociology","Unemployed","Chicago",237545,"SocialSci"
"131","City College of New York","Sociology","Retail","New York City",44069,"SocialSci"
"132","Baruch College","Sociology","Retail","New York City",224376,"SocialSci"
"133","Queens College","Sociology","Retail","New York City",95287,"SocialSci"
"134","Lehman College","Sociology","Retail","New York City",146319,"SocialSci"
"135","John Jay College","Sociology","Retail","New York City",107716,"SocialSci"
"136","College of Staten Island","Sociology","Retail","New York City",43384,"SocialSci"
"137","York College","Sociology","Retail","New York City",109454,"SocialSci"
"138","Hunter College","Sociology","Retail","New York City",38091,"SocialSci"
"139","York College","Psychology","Coporate","New York City",90061,"SocialSci"
"140","Hunter College","Psychology","Higher Education","New York City",129918,"SocialSci"
"141","Brooklyn College","Psychology","Higher Education","New York City",60415,"SocialSci"
"142","City College of New York","Psychology","Higher Education","New York City",168323,"SocialSci"
"143","Baruch College","Psychology","Higher Education","New York City",188578,"SocialSci"
"144","Queens College","Psychology","Higher Education","New York City",78928,"SocialSci"
"145","Lehman College","Psychology","Higher Education","Washington D. C.",225069,"SocialSci"
"146","John Jay College","Psychology","Higher Education","Washington D. C.",37802,"SocialSci"
"147","College of Staten Island","Psychology","Higher Education","Washington D. C.",27817,"SocialSci"
"148","York College","Psychology","Unemployed","Washington D. C.",36069,"SocialSci"
"149","Hunter College","Psychology","Unemployed","Washington D. C.",11180,"SocialSci"
"150","Brooklyn College","Psychology","Retail","Washington D. C.",129962,"SocialSci"
"151","City College of New York","Psychology","Retail","Chicago",90356,"SocialSci"
"152","York College","Sociology","Coporate","Washington D. C.",63827,"SocialSci"
"153","Hunter College","Sociology","Coporate","Washington D. C.",211623,"SocialSci"
"154","Brooklyn College","Sociology","Coporate","Washington D. C.",125298,"SocialSci"
"155","City College of New York","Sociology","Coporate","Washington D. C.",17175,"SocialSci"
"156","Baruch College","Sociology","Higher Education","Washington D. C.",46995,"SocialSci"
"157","Queens College","Sociology","Higher Education","Washington D. C.",213640,"SocialSci"
"158","Lehman College","Sociology","Higher Education","Chicago",59522,"SocialSci"
"159","John Jay College","Sociology","Higher Education","Chicago",114189,"SocialSci"
"160","College of Staten Island","Sociology","Higher Education","Chicago",80814,"SocialSci"
"161","York College","Sociology","Higher Education","Chicago",95104,"SocialSci"
"162","College of Staten Island","Psychology","Government","Chicago",185348,"SocialSci"
"163","York College","Psychology","Government","Chicago",30249,"SocialSci"
"164","Hunter College","Psychology","Government","Chicago",74841,"SocialSci"
"165","Brooklyn College","Psychology","Government","Chicago",205231,"SocialSci"
"166","City College of New York","Psychology","Government","Chicago",202048,"SocialSci"
"167","Baruch College","Psychology","Government","Chicago",38569,"SocialSci"
"168","Queens College","Psychology","Coporate","New York City",104961,"SocialSci"
"169","Lehman College","Psychology","Coporate","New York City",65344,"SocialSci"
"170","John Jay College","Psychology","Coporate","New York City",55262,"SocialSci"
"171","College of Staten Island","Psychology","Coporate","New York City",249068,"SocialSci"
"172","York College","Psychology","Coporate","New York City",248857,"SocialSci"
"173","Hunter College","Psychology","Coporate","New York City",178783,"SocialSci"
"174","Brooklyn College","Psychology","Coporate","New York City",59867,"SocialSci"
"175","College of Staten Island","Sociology","Degree Specific","New York City",111569,"SocialSci"
"176","York College","Sociology","Government","New York City",135049,"SocialSci"
"177","Hunter College","Sociology","Government","New York City",140058,"SocialSci"
"178","Brooklyn College","Sociology","Government","New York City",247164,"SocialSci"
"179","City College of New York","Sociology","Government","New York City",92057,"SocialSci"
"180","Baruch College","Sociology","Government","New York City",179868,"SocialSci"
"181","Queens College","Sociology","Government","New York City",195079,"SocialSci"
"182","Lehman College","Sociology","Government","New York City",182463,"SocialSci"
"183","John Jay College","Sociology","Coporate","New York City",58158,"SocialSci"
"184","College of Staten Island","Sociology","Coporate","New York City",243034,"SocialSci"
"185","John Jay College","Psychology","Retail","New York City",199712,"SocialSci"
"186","College of Staten Island","Psychology","Retail","New York City",201149,"SocialSci"
"187","York College","Psychology","Degree Specific","New York City",212414,"SocialSci"
"188","Hunter College","Psychology","Degree Specific","Washington D. C.",30239,"SocialSci"
"189","Brooklyn College","Psychology","Degree Specific","Washington D. C.",30742,"SocialSci"
"190","City College of New York","Psychology","Degree Specific","Washington D. C.",217323,"SocialSci"
"191","Baruch College","Psychology","Degree Specific","Washington D. C.",228721,"SocialSci"
"192","Queens College","Psychology","Degree Specific","Washington D. C.",192791,"SocialSci"
"193","Lehman College","Psychology","Degree Specific","Washington D. C.",88252,"SocialSci"
"194","John Jay College","Psychology","Degree Specific","Chicago",54287,"SocialSci"
"195","College of Staten Island","Psychology","Government","Chicago",39554,"SocialSci"
"196","York College","Psychology","Government","Chicago",212208,"SocialSci"
"197","Hunter College","Psychology","Government","Chicago",71818,"SocialSci"
"198","John Jay College","Sociology","Retail","Washington D. C.",240930,"SocialSci"
"199","College of Staten Island","Sociology","Retail","Washington D. C.",26244,"SocialSci"
"200","York College","Sociology","Retail","Washington D. C.",235980,"SocialSci"
"201","Hunter College","Sociology","Retail","Chicago",189115,"SocialSci"
"202","Brooklyn College","Sociology","Retail","Chicago",184081,"SocialSci"
"203","City College of New York","Sociology","Degree Specific","Chicago",101501,"SocialSci"
"204","Baruch College","Sociology","Degree Specific","Chicago",218400,"SocialSci"
"205","Queens College","Sociology","Degree Specific","Chicago",247103,"SocialSci"
"206","Lehman College","Sociology","Degree Specific","Chicago",225171,"SocialSci"
"207","John Jay College","Sociology","Degree Specific","Chicago",25677,"SocialSci"
"208","Lehman College","Psychology","Higher Education","Chicago",211121,"SocialSci"
"209","John Jay College","Psychology","Higher Education","Chicago",15809,"SocialSci"
"210","College of Staten Island","Psychology","Higher Education","Chicago",41659,"SocialSci"
"211","York College","Psychology","Higher Education","New York City",53476,"SocialSci"
"212","Hunter College","Psychology","Unemployed","New York City",77796,"SocialSci"
"213","Brooklyn College","Psychology","Unemployed","New York City",103623,"SocialSci"
"214","City College of New York","Psychology","Retail","New York City",66737,"SocialSci"
"215","Baruch College","Psychology","Retail","New York City",140750,"SocialSci"
"216","Queens College","Psychology","Retail","New York City",175867,"SocialSci"
"217","Lehman College","Psychology","Retail","New York City",55600,"SocialSci"
"218","John Jay College","Psychology","Retail","New York City",91382,"SocialSci"
"219","College of Staten Island","Psychology","Retail","New York City",19883,"SocialSci"
"220","York College","Psychology","Retail","New York City",116489,"SocialSci"
"221","Lehman College","Sociology","Higher Education","New York City",151085,"SocialSci"
"222","John Jay College","Sociology","Higher Education","New York City",178504,"SocialSci"
"223","College of Staten Island","Sociology","Higher Education","New York City",109563,"SocialSci"
"224","York College","Sociology","Higher Education","New York City",44901,"SocialSci"
"225","Hunter College","Sociology","Higher Education","New York City",183600,"SocialSci"
"226","Brooklyn College","Sociology","Higher Education","New York City",237891,"SocialSci"
"227","City College of New York","Sociology","Unemployed","New York City",183752,"SocialSci"
"228","Baruch College","Sociology","Unemployed","New York City",154049,"SocialSci"
"229","Queens College","Sociology","Unemployed","Washington D. C.",233864,"SocialSci"
"230","Lehman College","Sociology","Retail","Washington D. C.",128692,"SocialSci"
"231","Queens College","Psychology","Government","New York City",74576,"SocialSci"
"232","Lehman College","Psychology","Coporate","Washington D. C.",50898,"SocialSci"
"233","John Jay College","Psychology","Coporate","Washington D. C.",181647,"SocialSci"
"234","College of Staten Island","Psychology","Coporate","Washington D. C.",172884,"SocialSci"
"235","York College","Psychology","Coporate","Washington D. C.",230638,"SocialSci"
"236","Hunter College","Psychology","Coporate","Washington D. C.",197792,"SocialSci"
"237","Brooklyn College","Psychology","Coporate","Washington D. C.",197006,"SocialSci"
"238","City College of New York","Psychology","Coporate","Chicago",227063,"SocialSci"
"239","Baruch College","Psychology","Higher Education","Chicago",21320,"SocialSci"
"240","Queens College","Psychology","Higher Education","Chicago",39342,"SocialSci"
"241","Lehman College","Psychology","Higher Education","Chicago",46486,"SocialSci"
"242","John Jay College","Psychology","Higher Education","Chicago",27505,"SocialSci"
"243","College of Staten Island","Psychology","Higher Education","Chicago",71536,"SocialSci"
"244","Queens College","Sociology","Government","Washington D. C.",247985,"SocialSci"
"245","Lehman College","Sociology","Government","Chicago",74316,"SocialSci"
"246","John Jay College","Sociology","Government","Chicago",184482,"SocialSci"
"247","College of Staten Island","Sociology","Coporate","Chicago",73078,"SocialSci"
"248","York College","Sociology","Coporate","Chicago",143557,"SocialSci"
"249","Hunter College","Sociology","Coporate","Chicago",32996,"SocialSci"
"250","Brooklyn College","Sociology","Coporate","Chicago",96538,"SocialSci"
"251","City College of New York","Sociology","Coporate","Chicago",162971,"SocialSci"
"252","Baruch College","Sociology","Coporate","New York City",171178,"SocialSci"
"253","Queens College","Sociology","Coporate","New York City",157949,"SocialSci"
"254","Baruch College","Psychology","Degree Specific","Chicago",29158,"SocialSci"
"255","Queens College","Psychology","Degree Specific","New York City",117078,"SocialSci"
"256","Lehman College","Psychology","Degree Specific","New York City",169056,"SocialSci"
"257","John Jay College","Psychology","Degree Specific","New York City",108220,"SocialSci"
"258","College of Staten Island","Psychology","Degree Specific","New York City",248940,"SocialSci"
"259","York College","Psychology","Government","New York City",86556,"SocialSci"
"260","Hunter College","Psychology","Government","New York City",129460,"SocialSci"
"261","Brooklyn College","Psychology","Government","New York City",140369,"SocialSci"
"262","City College of New York","Psychology","Government","New York City",147353,"SocialSci"
"263","Baruch College","Psychology","Government","New York City",191774,"SocialSci"
"264","Queens College","Psychology","Government","New York City",228142,"SocialSci"
"265","Lehman College","Psychology","Government","Washington D. C.",18448,"SocialSci"
"266","John Jay College","Psychology","Coporate","Washington D. C.",216164,"SocialSci"
"267","Baruch College","Sociology","Degree Specific","New York City",29159,"SocialSci"
"268","Queens College","Sociology","Degree Specific","New York City",166711,"SocialSci"
"269","Lehman College","Sociology","Degree Specific","New York City",139808,"SocialSci"
"270","John Jay College","Sociology","Degree Specific","New York City",128512,"SocialSci"
"271","College of Staten Island","Sociology","Degree Specific","New York City",172521,"SocialSci"
"272","York College","Sociology","Degree Specific","Washington D. C.",202108,"SocialSci"
"273","Hunter College","Sociology","Degree Specific","Washington D. C.",47038,"SocialSci"
"274","Brooklyn College","Sociology","Degree Specific","Washington D. C.",36859,"SocialSci"
"275","City College of New York","Sociology","Government","Washington D. C.",98144,"SocialSci"
"276","Baruch College","Sociology","Government","Washington D. C.",192521,"SocialSci"
"277","City College of New York","Psychology","Unemployed","Washington D. C.",218608,"SocialSci"
"278","Baruch College","Psychology","Retail","Washington D. C.",98261,"SocialSci"
"279","Queens College","Psychology","Retail","Washington D. C.",164756,"SocialSci"
"280","Lehman College","Psychology","Retail","Washington D. C.",107417,"SocialSci"
"281","John Jay College","Psychology","Retail","Chicago",230449,"SocialSci"
"282","College of Staten Island","Psychology","Retail","Chicago",150470,"SocialSci"
"283","York College","Psychology","Retail","Chicago",206558,"SocialSci"
"284","Hunter College","Psychology","Retail","Chicago",246161,"SocialSci"
"285","Brooklyn College","Psychology","Retail","Chicago",203370,"SocialSci"
"286","City College of New York","Psychology","Degree Specific","Chicago",195055,"SocialSci"
"287","Baruch College","Psychology","Degree Specific","Chicago",114904,"SocialSci"
"288","Queens College","Psychology","Degree Specific","New York City",198613,"SocialSci"
"289","Lehman College","Psychology","Degree Specific","New York City",141363,"SocialSci"
"290","City College of New York","Sociology","Higher Education","Chicago",152826,"SocialSci"
"291","Baruch College","Sociology","Unemployed","Chicago",52154,"SocialSci"
"292","Queens College","Sociology","Unemployed","Chicago",238308,"SocialSci"
"293","Lehman College","Sociology","Unemployed","Chicago",59193,"SocialSci"
"294","John Jay College","Sociology","Retail","Chicago",156541,"SocialSci"
"295","College of Staten Island","Sociology","Retail","New York City",116556,"SocialSci"
"296","York College","Sociology","Retail","New York City",101644,"SocialSci"
"297","Hunter College","Sociology","Retail","New York City",242233,"SocialSci"
"298","Brooklyn College","Sociology","Retail","New York City",113989,"SocialSci"
"299","City College of New York","Sociology","Retail","New York City",14860,"SocialSci"
"300","Brooklyn College","Psychology","Coporate","New York City",136052,"SocialSci"
"301","City College of New York","Psychology","Coporate","New York City",31834,"SocialSci"
"302","Baruch College","Psychology","Coporate","New York City",12888,"SocialSci"
"303","Queens College","Psychology","Higher Education","New York City",237834,"SocialSci"
"304","Lehman College","Psychology","Higher Education","New York City",46205,"SocialSci"
"305","John Jay College","Psychology","Higher Education","New York City",49199,"SocialSci"
"306","College of Staten Island","Psychology","Higher Education","New York City",66858,"SocialSci"
"307","York College","Psychology","Higher Education","New York City",15068,"SocialSci"
"308","Hunter College","Psychology","Higher Education","New York City",230499,"SocialSci"
"309","Brooklyn College","Psychology","Higher Education","Washington D. C.",101506,"SocialSci"
"310","City College of New York","Psychology","Unemployed","Washington D. C.",109309,"SocialSci"
"311","Baruch College","Psychology","Unemployed","Washington D. C.",124414,"SocialSci"
"312","Queens College","Psychology","Unemployed","Washington D. C.",226782,"SocialSci"
"313","Brooklyn College","Sociology","Coporate","New York City",47896,"SocialSci"
"314","City College of New York","Sociology","Coporate","New York City",119168,"SocialSci"
"315","Baruch College","Sociology","Coporate","New York City",198761,"SocialSci"
"316","Queens College","Sociology","Coporate","Washington D. C.",60842,"SocialSci"
"317","Lehman College","Sociology","Coporate","Washington D. C.",72769,"SocialSci"
"318","John Jay College","Sociology","Higher Education","Washington D. C.",27145,"SocialSci"
"319","College of Staten Island","Sociology","Higher Education","Washington D. C.",140217,"SocialSci"
"320","York College","Sociology","Higher Education","Washington D. C.",95665,"SocialSci"
"321","Hunter College","Sociology","Higher Education","Washington D. C.",200449,"SocialSci"
"322","Brooklyn College","Sociology","Higher Education","Chicago",92089,"SocialSci"
"323","Hunter College","Psychology","Government","Washington D. C.",247594,"SocialSci"
"324","Brooklyn College","Psychology","Government","Washington D. C.",121699,"SocialSci"
"325","City College of New York","Psychology","Government","Chicago",221424,"SocialSci"
"326","Baruch College","Psychology","Government","Chicago",138684,"SocialSci"
"327","Queens College","Psychology","Government","Chicago",194919,"SocialSci"
"328","Lehman College","Psychology","Government","Chicago",41942,"SocialSci"
"329","John Jay College","Psychology","Government","Chicago",80240,"SocialSci"
"330","College of Staten Island","Psychology","Coporate","Chicago",238603,"SocialSci"
"331","York College","Psychology","Coporate","Chicago",198506,"SocialSci"
"332","Hunter College","Psychology","Coporate","New York City",58723,"SocialSci"
"333","Brooklyn College","Psychology","Coporate","New York City",203940,"SocialSci"
"334","City College of New York","Psychology","Coporate","New York City",247900,"SocialSci"
"335","Baruch College","Psychology","Coporate","New York City",77805,"SocialSci"
"336","Hunter College","Sociology","Degree Specific","Chicago",79225,"SocialSci"
"337","Brooklyn College","Sociology","Degree Specific","Chicago",154092,"SocialSci"
"338","City College of New York","Sociology","Degree Specific","Chicago",209928,"SocialSci"
"339","Baruch College","Sociology","Government","New York City",90200,"SocialSci"
"340","Queens College","Sociology","Government","New York City",199458,"SocialSci"
"341","Lehman College","Sociology","Government","New York City",90265,"SocialSci"
"342","John Jay College","Sociology","Government","New York City",155860,"SocialSci"
"343","College of Staten Island","Sociology","Government","New York City",156571,"SocialSci"
"344","York College","Sociology","Government","New York City",212517,"SocialSci"
"345","Hunter College","Sociology","Government","New York City",10544,"SocialSci"
"346","York College","Psychology","Retail","New York City",130312,"SocialSci"
"347","Hunter College","Psychology","Retail","New York City",23347,"SocialSci"
"348","Brooklyn College","Psychology","Retail","New York City",105653,"SocialSci"
"349","City College of New York","Psychology","Retail","New York City",14052,"SocialSci"
"350","Baruch College","Psychology","Degree Specific","New York City",185915,"SocialSci"
"351","Queens College","Psychology","Degree Specific","New York City",118787,"SocialSci"
