"","School","Degree","Job","Location","Salary","degreesector"
"704","Queens College","Physics","Unemployed","New York City",228198,"STEM"
"705","John Jay College","Physics","Retail","New York City",66531,"STEM"
"706","Queens College","Math","Government","New York City",10981,"STEM"
"707","John Jay College","Math","Coporate","New York City",162712,"STEM"
"708","York College","Math","Coporate","New York City",24218,"STEM"
"709","Brooklyn College","Math","Coporate","New York City",66996,"STEM"
"710","Baruch College","Math","Coporate","New York City",86100,"STEM"
"711","Lehman College","Math","Higher Education","Washington D. C.",167851,"STEM"
"712","College of Staten Island","Math","Higher Education","Washington D. C.",95554,"STEM"
"713","Hunter College","Math","Higher Education","Washington D. C.",82262,"STEM"
"714","City College of New York","Math","Higher Education","Chicago",138195,"STEM"
"715","Queens College","Math","Unemployed","Chicago",218573,"STEM"
"716","John Jay College","Math","Retail","Chicago",73717,"STEM"
"717","York College","Math","Retail","Chicago",74163,"STEM"
"718","Brooklyn College","Math","Retail","New York City",214965,"STEM"
"719","Baruch College","Math","Retail","New York City",61056,"STEM"
"720","Hunter College","Biology","Government","Chicago",64091,"STEM"
"721","City College of New York","Biology","Coporate","Chicago",189729,"STEM"
"722","Queens College","Biology","Coporate","Chicago",225371,"STEM"
"723","John Jay College","Biology","Coporate","New York City",27823,"STEM"
"724","York College","Biology","Higher Education","New York City",171586,"STEM"
"725","Hunter College","Computer Science","Degree Specific","New York City",158889,"STEM"
"726","City College of New York","Computer Science","Government","New York City",72068,"STEM"
"727","Queens College","Computer Science","Government","New York City",109068,"STEM"
"728","John Jay College","Computer Science","Government","New York City",248209,"STEM"
"729","Hunter College","Physics","Coporate","Washington D. C.",128802,"STEM"
"730","City College of New York","Physics","Coporate","Washington D. C.",151805,"STEM"
"731","Queens College","Physics","Coporate","Washington D. C.",171288,"STEM"
"732","John Jay College","Physics","Coporate","Chicago",94602,"STEM"
"733","City College of New York","Math","Degree Specific","Washington D. C.",175049,"STEM"
"734","Queens College","Math","Degree Specific","Washington D. C.",168146,"STEM"
"735","John Jay College","Math","Degree Specific","Chicago",152230,"STEM"
"736","York College","Math","Degree Specific","Chicago",230413,"STEM"
"737","Brooklyn College","Math","Government","Chicago",148785,"STEM"
"738","Baruch College","Math","Government","Chicago",32756,"STEM"
"739","Lehman College","Math","Government","New York City",104615,"STEM"
"740","College of Staten Island","Math","Government","New York City",21878,"STEM"
"741","Hunter College","Math","Coporate","New York City",77480,"STEM"
"742","City College of New York","Math","Coporate","New York City",62149,"STEM"
"743","Queens College","Math","Coporate","New York City",183085,"STEM"
"744","John Jay College","Math","Higher Education","Washington D. C.",201898,"STEM"
"745","York College","Math","Higher Education","Washington D. C.",60160,"STEM"
"746","Brooklyn College","Math","Higher Education","Washington D. C.",192832,"STEM"
"747","College of Staten Island","Biology","Degree Specific","New York City",108281,"STEM"
"748","Hunter College","Biology","Degree Specific","New York City",143789,"STEM"
"749","City College of New York","Biology","Degree Specific","Washington D. C.",246984,"STEM"
"750","Queens College","Biology","Government","Washington D. C.",108583,"STEM"
"751","John Jay College","Biology","Government","Washington D. C.",54513,"STEM"
"752","Hunter College","Computer Science","Retail","Chicago",171111,"STEM"
"753","City College of New York","Computer Science","Retail","Chicago",139182,"STEM"
"754","Queens College","Computer Science","Degree Specific","Chicago",47852,"STEM"
"755","John Jay College","Computer Science","Degree Specific","Chicago",168624,"STEM"
"756","College of Staten Island","Physics","Degree Specific","New York City",231163,"STEM"
"757","Hunter College","Physics","Degree Specific","New York City",108569,"STEM"
"758","City College of New York","Physics","Degree Specific","New York City",44292,"STEM"
"759","Queens College","Physics","Government","New York City",163223,"STEM"
"760","City College of New York","Math","Unemployed","New York City",195108,"STEM"
"761","Queens College","Math","Unemployed","New York City",41652,"STEM"
"762","John Jay College","Math","Retail","New York City",188937,"STEM"
"763","York College","Math","Retail","New York City",194581,"STEM"
"764","Brooklyn College","Math","Retail","Washington D. C.",127429,"STEM"
"765","Baruch College","Math","Degree Specific","Washington D. C.",227719,"STEM"
"766","Lehman College","Math","Degree Specific","Washington D. C.",122823,"STEM"
"767","College of Staten Island","Math","Degree Specific","Chicago",61406,"STEM"
"768","Hunter College","Math","Degree Specific","Chicago",147815,"STEM"
"769","City College of New York","Math","Government","Chicago",145413,"STEM"
"770","Queens College","Math","Government","Chicago",119051,"STEM"
"771","John Jay College","Math","Government","New York City",173754,"STEM"
"772","York College","Math","Government","New York City",22356,"STEM"
"773","Brooklyn College","Math","Coporate","New York City",198704,"STEM"
"774","College of Staten Island","Biology","Unemployed","Chicago",144682,"STEM"
"775","Hunter College","Biology","Retail","Chicago",50338,"STEM"
"776","City College of New York","Biology","Retail","New York City",129302,"STEM"
"777","Queens College","Biology","Retail","New York City",227902,"STEM"
"778","John Jay College","Biology","Retail","New York City",13728,"STEM"
"779","College of Staten Island","Computer Science","Higher Education","New York City",115613,"STEM"
"780","Hunter College","Computer Science","Higher Education","New York City",210309,"STEM"
"781","City College of New York","Computer Science","Higher Education","New York City",24649,"STEM"
"782","Queens College","Computer Science","Higher Education","Washington D. C.",43955,"STEM"
"783","College of Staten Island","Physics","Retail","Washington D. C.",86718,"STEM"
"784","Hunter College","Physics","Retail","Washington D. C.",154140,"STEM"
"785","City College of New York","Physics","Retail","Chicago",194210,"STEM"
"786","Queens College","Physics","Retail","Chicago",71281,"STEM"
"787","Hunter College","Math","Coporate","Washington D. C.",149861,"STEM"
"788","City College of New York","Math","Coporate","Chicago",195808,"STEM"
"789","Queens College","Math","Coporate","Chicago",109750,"STEM"
"790","John Jay College","Math","Higher Education","Chicago",94402,"STEM"
"791","York College","Math","Higher Education","Chicago",172148,"STEM"
"792","Brooklyn College","Math","Higher Education","New York City",40044,"STEM"
"793","Baruch College","Math","Higher Education","New York City",181339,"STEM"
"794","Lehman College","Math","Unemployed","New York City",188623,"STEM"
"795","College of Staten Island","Math","Retail","New York City",153858,"STEM"
"796","Hunter College","Math","Retail","New York City",114128,"STEM"
"797","City College of New York","Math","Retail","Washington D. C.",232006,"STEM"
"798","Queens College","Math","Retail","Washington D. C.",81397,"STEM"
"799","John Jay College","Math","Degree Specific","Washington D. C.",66631,"STEM"
"800","York College","Math","Degree Specific","Chicago",213574,"STEM"
"801","Lehman College","Biology","Coporate","New York City",122837,"STEM"
"802","College of Staten Island","Biology","Coporate","Washington D. C.",174431,"STEM"
"803","Hunter College","Biology","Higher Education","Washington D. C.",79007,"STEM"
"804","City College of New York","Biology","Higher Education","Washington D. C.",98159,"STEM"
"805","Queens College","Biology","Higher Education","Chicago",130230,"STEM"
"806","College of Staten Island","Computer Science","Government","Chicago",79901,"STEM"
"807","Hunter College","Computer Science","Government","Chicago",56546,"STEM"
"808","City College of New York","Computer Science","Coporate","Chicago",51602,"STEM"
"809","Queens College","Computer Science","Coporate","New York City",163733,"STEM"
"810","Lehman College","Physics","Coporate","New York City",228216,"STEM"
"811","College of Staten Island","Physics","Coporate","New York City",145789,"STEM"
"812","Hunter College","Physics","Higher Education","New York City",159730,"STEM"
"813","City College of New York","Physics","Higher Education","New York City",202531,"STEM"
"814","Hunter College","Math","Degree Specific","New York City",135327,"STEM"
"815","City College of New York","Math","Government","New York City",145800,"STEM"
"816","Queens College","Math","Government","New York City",183444,"STEM"
"817","John Jay College","Math","Government","Washington D. C.",197251,"STEM"
"818","York College","Math","Government","Washington D. C.",178120,"STEM"
"819","Brooklyn College","Math","Coporate","Washington D. C.",207760,"STEM"
"820","Baruch College","Math","Coporate","Chicago",246941,"STEM"
"821","Lehman College","Math","Coporate","Chicago",81765,"STEM"
"822","College of Staten Island","Math","Higher Education","Chicago",209378,"STEM"
"823","Hunter College","Math","Higher Education","New York City",235376,"STEM"
"824","City College of New York","Math","Higher Education","New York City",118138,"STEM"
"825","Queens College","Math","Higher Education","New York City",239091,"STEM"
"826","John Jay College","Math","Unemployed","New York City",144511,"STEM"
"827","York College","Math","Retail","New York City",149411,"STEM"
"828","Lehman College","Biology","Government","Chicago",247085,"STEM"
"829","College of Staten Island","Biology","Government","New York City",122863,"STEM"
"830","Hunter College","Biology","Government","New York City",153747,"STEM"
"831","City College of New York","Biology","Government","New York City",106866,"STEM"
"832","Queens College","Biology","Coporate","New York City",152761,"STEM"
"833","Lehman College","Computer Science","Degree Specific","New York City",116027,"STEM"
"834","College of Staten Island","Computer Science","Degree Specific","New York City",57669,"STEM"
"835","Hunter College","Computer Science","Degree Specific","Washington D. C.",219519,"STEM"
"836","City College of New York","Computer Science","Degree Specific","Washington D. C.",127649,"STEM"
"837","Lehman College","Physics","Government","Chicago",125766,"STEM"
"838","College of Staten Island","Physics","Government","Chicago",78170,"STEM"
"839","Hunter College","Physics","Government","Chicago",152759,"STEM"
"840","City College of New York","Physics","Coporate","Chicago",102391,"STEM"
"841","College of Staten Island","Math","Retail","Chicago",145710,"STEM"
"842","Hunter College","Math","Retail","Chicago",185795,"STEM"
"843","City College of New York","Math","Retail","Chicago",89959,"STEM"
"844","Queens College","Math","Degree Specific","New York City",137018,"STEM"
"845","John Jay College","Math","Degree Specific","New York City",48533,"STEM"
"846","York College","Math","Degree Specific","New York City",121110,"STEM"
"847","Brooklyn College","Math","Degree Specific","New York City",39041,"STEM"
"848","Baruch College","Math","Government","New York City",179159,"STEM"
"849","Lehman College","Math","Government","New York City",245540,"STEM"
"850","College of Staten Island","Math","Government","Washington D. C.",225837,"STEM"
"851","Hunter College","Math","Government","Washington D. C.",42089,"STEM"
"852","City College of New York","Math","Coporate","Washington D. C.",238329,"STEM"
"853","Queens College","Math","Coporate","Chicago",150091,"STEM"
"854","John Jay College","Math","Coporate","Chicago",142952,"STEM"
"855","Baruch College","Biology","Retail","Washington D. C.",222896,"STEM"
"856","Lehman College","Biology","Retail","Washington D. C.",214233,"STEM"
"857","College of Staten Island","Biology","Retail","Washington D. C.",161187,"STEM"
"858","Hunter College","Biology","Degree Specific","Chicago",176139,"STEM"
"859","City College of New York","Biology","Degree Specific","Chicago",89124,"STEM"
"860","Lehman College","Computer Science","Higher Education","Chicago",106063,"STEM"
"861","College of Staten Island","Computer Science","Unemployed","New York City",119153,"STEM"
"862","Hunter College","Computer Science","Retail","New York City",27667,"STEM"
"863","City College of New York","Computer Science","Retail","New York City",191675,"STEM"
"864","Baruch College","Physics","Retail","New York City",90275,"STEM"
"865","Lehman College","Physics","Retail","New York City",249203,"STEM"
"866","College of Staten Island","Physics","Degree Specific","New York City",90885,"STEM"
"867","Hunter College","Physics","Degree Specific","Washington D. C.",173161,"STEM"
"868","College of Staten Island","Math","Higher Education","New York City",59059,"STEM"
"869","Hunter College","Math","Higher Education","New York City",57917,"STEM"
"870","City College of New York","Math","Higher Education","Washington D. C.",189524,"STEM"
"871","Queens College","Math","Higher Education","Washington D. C.",71898,"STEM"
"872","John Jay College","Math","Unemployed","Washington D. C.",128896,"STEM"
"873","York College","Math","Retail","Chicago",200595,"STEM"
"874","Brooklyn College","Math","Retail","Chicago",68231,"STEM"
"875","Baruch College","Math","Retail","Chicago",16597,"STEM"
"876","Lehman College","Math","Retail","New York City",147886,"STEM"
"877","College of Staten Island","Math","Degree Specific","New York City",182218,"STEM"
"878","Hunter College","Math","Degree Specific","New York City",64341,"STEM"
"879","City College of New York","Math","Degree Specific","New York City",72829,"STEM"
"880","Queens College","Math","Degree Specific","New York City",170644,"STEM"
"881","John Jay College","Math","Government","Washington D. C.",29683,"STEM"
"882","Baruch College","Biology","Higher Education","New York City",17948,"STEM"
"883","Lehman College","Biology","Higher Education","New York City",44114,"STEM"
"884","College of Staten Island","Biology","Higher Education","New York City",246113,"STEM"
"885","Hunter College","Biology","Unemployed","New York City",110066,"STEM"
"886","City College of New York","Biology","Retail","New York City",71509,"STEM"
"887","Baruch College","Computer Science","Coporate","New York City",236213,"STEM"
"888","Lehman College","Computer Science","Coporate","Washington D. C.",71061,"STEM"
"889","College of Staten Island","Computer Science","Coporate","Washington D. C.",26378,"STEM"
"890","Hunter College","Computer Science","Higher Education","Washington D. C.",42548,"STEM"
"891","Baruch College","Physics","Higher Education","Chicago",141838,"STEM"
"892","Lehman College","Physics","Higher Education","Chicago",187843,"STEM"
"893","College of Staten Island","Physics","Unemployed","Chicago",167030,"STEM"
"894","Hunter College","Physics","Unemployed","New York City",241300,"STEM"
"895","Lehman College","Math","Government","Chicago",162765,"STEM"
"896","College of Staten Island","Math","Government","Chicago",243675,"STEM"
"897","Hunter College","Math","Government","New York City",64097,"STEM"
"898","City College of New York","Math","Coporate","New York City",179869,"STEM"
"899","Queens College","Math","Coporate","New York City",36234,"STEM"
"900","John Jay College","Math","Coporate","New York City",249963,"STEM"
"901","York College","Math","Higher Education","New York City",20576,"STEM"
"902","Brooklyn College","Math","Higher Education","Washington D. C.",27792,"STEM"
"903","Baruch College","Math","Higher Education","Washington D. C.",216094,"STEM"
"904","Lehman College","Math","Higher Education","Washington D. C.",46324,"STEM"
"905","College of Staten Island","Math","Unemployed","Chicago",194468,"STEM"
"906","Hunter College","Math","Retail","Chicago",43100,"STEM"
"907","City College of New York","Math","Retail","Chicago",130291,"STEM"
"908","Queens College","Math","Retail","Chicago",210765,"STEM"
"909","Brooklyn College","Biology","Government","Washington D. C.",224922,"STEM"
"910","Baruch College","Biology","Government","Washington D. C.",92223,"STEM"
"911","Lehman College","Biology","Coporate","Chicago",145235,"STEM"
"912","College of Staten Island","Biology","Coporate","Chicago",96307,"STEM"
"913","Hunter College","Biology","Coporate","Chicago",213506,"STEM"
"914","Baruch College","Computer Science","Degree Specific","New York City",12140,"STEM"
"915","Lehman College","Computer Science","Government","New York City",219059,"STEM"
"916","College of Staten Island","Computer Science","Government","New York City",191336,"STEM"
"917","Hunter College","Computer Science","Government","New York City",84087,"STEM"
"918","Brooklyn College","Physics","Government","New York City",66927,"STEM"
"919","Baruch College","Physics","Coporate","New York City",186547,"STEM"
"920","Lehman College","Physics","Coporate","Washington D. C.",213726,"STEM"
"921","College of Staten Island","Physics","Coporate","Washington D. C.",191532,"STEM"
"922","Lehman College","Math","Degree Specific","Washington D. C.",141489,"STEM"
"923","College of Staten Island","Math","Degree Specific","Washington D. C.",111945,"STEM"
"924","Hunter College","Math","Degree Specific","Washington D. C.",235237,"STEM"
"925","City College of New York","Math","Degree Specific","Chicago",246101,"STEM"
"926","Queens College","Math","Government","Chicago",20268,"STEM"
"927","John Jay College","Math","Government","Chicago",54068,"STEM"
"928","York College","Math","Government","Chicago",116019,"STEM"
"929","Brooklyn College","Math","Government","New York City",137642,"STEM"
"930","Baruch College","Math","Coporate","New York City",138433,"STEM"
"931","Lehman College","Math","Coporate","New York City",223346,"STEM"
"932","College of Staten Island","Math","Coporate","New York City",108759,"STEM"
"933","Hunter College","Math","Higher Education","New York City",139499,"STEM"
"934","City College of New York","Math","Higher Education","Washington D. C.",215615,"STEM"
"935","Queens College","Math","Higher Education","Washington D. C.",174069,"STEM"
"936","Brooklyn College","Biology","Degree Specific","New York City",48840,"STEM"
"937","Baruch College","Biology","Degree Specific","New York City",188842,"STEM"
"938","Lehman College","Biology","Degree Specific","New York City",74556,"STEM"
"939","College of Staten Island","Biology","Degree Specific","Washington D. C.",241963,"STEM"
"940","Hunter College","Biology","Government","Washington D. C.",180565,"STEM"
"941","Brooklyn College","Computer Science","Retail","Washington D. C.",102969,"STEM"
"942","Baruch College","Computer Science","Retail","Washington D. C.",76563,"STEM"
"943","Lehman College","Computer Science","Retail","Chicago",101467,"STEM"
"944","College of Staten Island","Computer Science","Retail","Chicago",106509,"STEM"
"945","Brooklyn College","Physics","Degree Specific","Chicago",125058,"STEM"
"946","Baruch College","Physics","Degree Specific","New York City",109147,"STEM"
"947","Lehman College","Physics","Degree Specific","New York City",72336,"STEM"
"948","College of Staten Island","Physics","Government","New York City",206592,"STEM"
"949","Baruch College","Math","Higher Education","Chicago",39519,"STEM"
"950","Lehman College","Math","Higher Education","New York City",89223,"STEM"
"951","College of Staten Island","Math","Unemployed","New York City",136257,"STEM"
"952","Hunter College","Math","Retail","New York City",27054,"STEM"
"953","City College of New York","Math","Retail","New York City",227606,"STEM"
"954","Queens College","Math","Retail","New York City",216305,"STEM"
"955","John Jay College","Math","Retail","Washington D. C.",166563,"STEM"
"956","York College","Math","Degree Specific","Washington D. C.",53605,"STEM"
"957","Brooklyn College","Math","Degree Specific","Washington D. C.",111850,"STEM"
"958","Baruch College","Math","Degree Specific","Chicago",142164,"STEM"
"959","Lehman College","Math","Degree Specific","Chicago",20800,"STEM"
"960","College of Staten Island","Math","Government","Chicago",67011,"STEM"
"961","Hunter College","Math","Government","Chicago",180802,"STEM"
"962","City College of New York","Math","Government","New York City",12307,"STEM"
"963","York College","Biology","Higher Education","Chicago",35423,"STEM"
"964","Brooklyn College","Biology","Unemployed","Chicago",88369,"STEM"
"965","Baruch College","Biology","Retail","Chicago",81192,"STEM"
"966","Lehman College","Biology","Retail","Chicago",43983,"STEM"
"967","College of Staten Island","Biology","Retail","New York City",28019,"STEM"
"968","Brooklyn College","Computer Science","Higher Education","New York City",61322,"STEM"
"969","Baruch College","Computer Science","Higher Education","New York City",185214,"STEM"
"970","Lehman College","Computer Science","Higher Education","New York City",232923,"STEM"
"971","College of Staten Island","Computer Science","Higher Education","New York City",237652,"STEM"
"972","York College","Physics","Unemployed","New York City",248679,"STEM"
"973","Brooklyn College","Physics","Unemployed","Washington D. C.",18864,"STEM"
"974","Baruch College","Physics","Retail","Washington D. C.",82902,"STEM"
"975","Lehman College","Physics","Retail","Washington D. C.",83780,"STEM"
"976","Baruch College","Math","Coporate","Washington D. C.",51797,"STEM"
"977","Lehman College","Math","Coporate","Washington D. C.",139983,"STEM"
"978","College of Staten Island","Math","Coporate","Chicago",108192,"STEM"
"979","Hunter College","Math","Higher Education","Chicago",215697,"STEM"
"980","City College of New York","Math","Higher Education","Chicago",199961,"STEM"
"981","Queens College","Math","Higher Education","Chicago",90572,"STEM"
"982","John Jay College","Math","Higher Education","New York City",37066,"STEM"
"983","York College","Math","Unemployed","New York City",87093,"STEM"
"984","Brooklyn College","Math","Retail","New York City",16632,"STEM"
"985","Baruch College","Math","Retail","New York City",132483,"STEM"
"986","Lehman College","Math","Retail","New York City",140166,"STEM"
"987","College of Staten Island","Math","Retail","Washington D. C.",202043,"STEM"
"988","Hunter College","Math","Degree Specific","Washington D. C.",52120,"STEM"
"989","City College of New York","Math","Degree Specific","Washington D. C.",186593,"STEM"
"990","York College","Biology","Coporate","New York City",208790,"STEM"
"991","Brooklyn College","Biology","Coporate","New York City",157533,"STEM"
"992","Baruch College","Biology","Higher Education","Washington D. C.",104625,"STEM"
"993","Lehman College","Biology","Higher Education","Washington D. C.",194771,"STEM"
"994","College of Staten Island","Biology","Higher Education","Washington D. C.",227203,"STEM"
"995","York College","Computer Science","Government","Washington D. C.",108784,"STEM"
"996","Brooklyn College","Computer Science","Government","Chicago",52337,"STEM"
"997","Baruch College","Computer Science","Government","Chicago",122641,"STEM"
"998","Lehman College","Computer Science","Coporate","Chicago",134499,"STEM"
"999","York College","Physics","Coporate","New York City",34855,"STEM"
"1000","Brooklyn College","Physics","Coporate","New York City",112273,"STEM"
"1001","Baruch College","Physics","Higher Education","New York City",204216,"STEM"
"1002","Lehman College","Physics","Higher Education","New York City",140548,"STEM"
"1003","Brooklyn College","Math","Degree Specific","New York City",248306,"STEM"
"1004","Baruch College","Math","Degree Specific","New York City",42457,"STEM"
"1005","Lehman College","Math","Government","New York City",74832,"STEM"
"1006","College of Staten Island","Math","Government","New York City",130115,"STEM"
"1007","Hunter College","Math","Government","New York City",124527,"STEM"
"1008","City College of New York","Math","Government","Washington D. C.",112235,"STEM"
"1009","Queens College","Math","Coporate","Washington D. C.",206831,"STEM"
"1010","John Jay College","Math","Coporate","Washington D. C.",219920,"STEM"
"1011","York College","Math","Coporate","Chicago",18900,"STEM"
"1012","Brooklyn College","Math","Higher Education","Chicago",11131,"STEM"
"1013","Baruch College","Math","Higher Education","Chicago",97866,"STEM"
"1014","Lehman College","Math","Higher Education","New York City",183571,"STEM"
"1015","College of Staten Island","Math","Higher Education","New York City",18798,"STEM"
"1016","Hunter College","Math","Unemployed","New York City",132643,"STEM"
"1017","John Jay College","Biology","Degree Specific","Chicago",170463,"STEM"
"1018","York College","Biology","Degree Specific","Chicago",119656,"STEM"
"1019","Brooklyn College","Biology","Government","Chicago",245981,"STEM"
"1020","Baruch College","Biology","Government","New York City",94839,"STEM"
"1021","Lehman College","Biology","Government","New York City",69089,"STEM"
"1022","York College","Computer Science","Retail","New York City",198296,"STEM"
"1023","Brooklyn College","Computer Science","Degree Specific","New York City",200043,"STEM"
"1024","Baruch College","Computer Science","Degree Specific","New York City",117905,"STEM"
"1025","Lehman College","Computer Science","Degree Specific","Washington D. C.",38619,"STEM"
"1026","John Jay College","Physics","Degree Specific","Washington D. C.",16082,"STEM"
"1027","York College","Physics","Government","Washington D. C.",212881,"STEM"
"1028","Brooklyn College","Physics","Government","Chicago",182352,"STEM"
"1029","Baruch College","Physics","Government","Chicago",230519,"STEM"
"1030","Brooklyn College","Math","Retail","Washington D. C.",96465,"STEM"
"1031","Baruch College","Math","Retail","Chicago",191200,"STEM"
"1032","Lehman College","Math","Retail","Chicago",229376,"STEM"
"1033","College of Staten Island","Math","Retail","Chicago",170931,"STEM"
"1034","Hunter College","Math","Degree Specific","New York City",174690,"STEM"
"1035","City College of New York","Math","Degree Specific","New York City",244359,"STEM"
"1036","Queens College","Math","Degree Specific","New York City",116492,"STEM"
"1037","John Jay College","Math","Degree Specific","New York City",161323,"STEM"
"1038","York College","Math","Government","New York City",206316,"STEM"
"1039","Brooklyn College","Math","Government","New York City",176961,"STEM"
"1040","Baruch College","Math","Government","Washington D. C.",31092,"STEM"
"1041","Lehman College","Math","Coporate","Washington D. C.",15920,"STEM"
"1042","College of Staten Island","Math","Coporate","Washington D. C.",247396,"STEM"
"1043","Hunter College","Math","Coporate","Chicago",196871,"STEM"
"1044","John Jay College","Biology","Retail","New York City",15116,"STEM"
"1045","York College","Biology","Retail","Washington D. C.",203654,"STEM"
"1046","Brooklyn College","Biology","Retail","Washington D. C.",136758,"STEM"
"1047","Baruch College","Biology","Degree Specific","Washington D. C.",143964,"STEM"
"1048","Lehman College","Biology","Degree Specific","Chicago",146822,"STEM"
"1049","John Jay College","Computer Science","Higher Education","Chicago",196014,"STEM"
"1050","York College","Computer Science","Higher Education","Chicago",221589,"STEM"
"1051","Brooklyn College","Computer Science","Unemployed","Chicago",30691,"STEM"
"1052","Baruch College","Computer Science","Retail","New York City",219549,"STEM"
"1053","John Jay College","Physics","Retail","New York City",103269,"STEM"
"1054","York College","Physics","Retail","New York City",198106,"STEM"
"1055","Brooklyn College","Physics","Degree Specific","New York City",119869,"STEM"
"1056","Baruch College","Physics","Degree Specific","New York City",127014,"STEM"
"1057","York College","Math","Coporate","New York City",133215,"STEM"
"1058","Brooklyn College","Math","Higher Education","New York City",170603,"STEM"
"1059","Baruch College","Math","Higher Education","New York City",44716,"STEM"
"1060","Lehman College","Math","Higher Education","New York City",38556,"STEM"
"1061","College of Staten Island","Math","Higher Education","Washington D. C.",201244,"STEM"
"1062","Hunter College","Math","Unemployed","Washington D. C.",227878,"STEM"
"1063","City College of New York","Math","Retail","Washington D. C.",71249,"STEM"
"1064","Queens College","Math","Retail","Chicago",99477,"STEM"
"1065","John Jay College","Math","Retail","Chicago",186080,"STEM"
"1066","York College","Math","Retail","Chicago",54376,"STEM"
"1067","Brooklyn College","Math","Degree Specific","New York City",169282,"STEM"
"1068","Baruch College","Math","Degree Specific","New York City",141241,"STEM"
"1069","Lehman College","Math","Degree Specific","New York City",156995,"STEM"
"1070","College of Staten Island","Math","Degree Specific","New York City",12823,"STEM"
"1071","Queens College","Biology","Higher Education","Chicago",165065,"STEM"
"1072","John Jay College","Biology","Higher Education","New York City",222235,"STEM"
"1073","York College","Biology","Higher Education","New York City",147829,"STEM"
"1074","Brooklyn College","Biology","Higher Education","New York City",50968,"STEM"
"1075","Baruch College","Biology","Unemployed","New York City",140073,"STEM"
"1076","John Jay College","Computer Science","Coporate","New York City",10352,"STEM"
"1077","York College","Computer Science","Coporate","New York City",222093,"STEM"
"1078","Brooklyn College","Computer Science","Coporate","Washington D. C.",34285,"STEM"
"1079","Baruch College","Computer Science","Higher Education","Washington D. C.",44797,"STEM"
"1080","Queens College","Physics","Higher Education","Washington D. C.",157355,"STEM"
"1081","John Jay College","Physics","Higher Education","Chicago",127312,"STEM"
"1082","York College","Physics","Higher Education","Chicago",207227,"STEM"
"1083","Brooklyn College","Physics","Higher Education","Chicago",98141,"STEM"
"1084","York College","Math","Government","Chicago",104153,"STEM"
"1085","Brooklyn College","Math","Government","Chicago",125138,"STEM"
"1086","Baruch College","Math","Government","Chicago",171179,"STEM"
"1087","Lehman College","Math","Coporate","New York City",234596,"STEM"
